307	New Hydroelectric Projects	Identify hydroelectric projects proposed or under construction and the location of the project. Renovation of existing facilities would be judged not relevant unless plans call for a significant increase in acre-feet or reservoir or a marked change in the environmental impact of the project. Arguments for and against proposed projects are relevant as long as they are supported by specifics, including as a minimum the name or location of the project. A statement that an individual or organization is for or against such projects in general would not be relevant. Proposals or projects underway to dismantle existing facilities or drain existing reservoirs are not relevant, nor are articles reporting a decision to drop a proposed plan. 	Relevant documents will identify new hydroelectric projects proposed or under construction and the location of the project. 	T
310	Radio Waves and Brain Cancer	Evidence that radio waves from radio towers or car (mobile) phones affect brain cancer occurrence. Persons living near radio towers and persons using car (mobile) phones have been diagnosed with brain cancer. A relevant document includes any experiment with animals, statistical study, articles, news items which report on the incidence of brain cancer being higher/lower/same as those persons who live near a radio tower and those using car (mobile) phones as compared to those in the general population. 	Relevant documents will reflect evidence for or against the notion that radio waves from radio towers or car (mobile/cell) phones can cause or affect brain cancer occurrence.	T
321	Women in Parliaments 	Relevant documents will reflect the fact that women continue to be poorly represented in parliaments across the world, and the gap in political power between the sexes is very wide, particularly in the Third World. Relevant documents will discuss the countries that mandate the inclusion of a certain percentage of women in their legislatures, decreases if any in female representation in legislatures, and those countries in which there is no representation of women. 	Relevant documents will reflect the fact that women continue to be poorly represented in parliaments across the world, and the gap in political power between the sexes is very wide, particularly in the Third World.	T
325	Cult Lifestyles 	A relevant document would include the name of the cult and offer information about the members' lifestyles in their everyday life. It may include how they dress or what they do to attain the ultimate goal of the organization. A relevant document may tell what they eat or how they contribute to the cult. Just the mention of the existence of a cult by name with no other clarifying information would not be relevant. 	A relevant document would include the name of the cult and offer information about the members' lifestyles in their everyday life.	T
330	Iran-Iraq Cooperation 	Relevant document would give examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies. A relevant document would mention such things as mutually beneficial economic, military, religious, or social relations; cooperation on border control or treatment of minorities; collaboration in getting around trade sanctions placed upon either country, etc. 	Relevant document would give examples of cooperation or friendly ties between Iran and Iraq, or ways in which the two countries could be considered allies.	T
336	Black Bear Attacks 	A relevant document would discuss the frequency of vicious black bear attacks worldwide and the possible causes for this savage behavior. It has been reported that food or cosmetics sometimes attract hungry black bears, causing them to viciously attack humans. Relevant documents would include the aforementioned causes as well as speculation preferably from the scientific community as to other possible causes of vicious attacks by black bears. A relevant document would also detail steps taken or new methods devised by wildlife officials to control and/or modify the savageness of the black bear. 	A relevant document would discuss black bear attacks, the frequency of black bear attacks worldwide, and the possible causes for these attacks.	T
341	Airport Security 	A relevant document would discuss the effectiveness of efforts to better scrutinize passengers and luggage on all flights, but particularly international flights. A relevant document would contain reports on what steps airports worldwide have taken to better scrutinize passengers and their luggage on domestic and international flights and to step up screening of all carry-on baggage. With increased concerns about terrorism, articles on airport security relating in particular to additional steps taken by airports to increase flight safety would be relevant. The mere mention of enhanced security does not constitute relevance. Additional steps refer to something beyond just passenger and carry-on screening using the normal methods. Examples of new steps would be additional personnel, automated screening processes, sophisticated monitoring and screening devices, whole body imaging techniques, and extraordinary measures to screen luggage in the baggage compartment. 	A relevant document would discuss the effectiveness of efforts to better scrutinize air passengers and luggage beyond traditional screening.  Examples of new steps would be additional personnel, automated screening processes, sophisticated monitoring and screening devices, whole body imaging techniques, and extraordinary measures to screen luggage in the baggage compartment.	T
344	Abuses of E-Mail 	The availability of E-mail to many people through their job or school affiliation has allowed for many efficiencies in communications but also has provided the opportunity for abuses. What steps have been taken worldwide by those bearing the cost of E-mail to prevent excesses? To be relevant, a document will concern dissatisfaction by an entity paying for the cost of electronic mail. Particularly sought are items which relate to system users (such as employees) who abuse the system by engaging in communications of the type not related to the payer's desired use of the system. 	Modern workplaces provide employee access to the internet and e-mail.  Some employers are concerned that employees access the internet and use email for personal benefit on company time. A relevant document would discuss steps employers take to control personal use of internet and e-mail or contain examples of misuse by employees.	T
345	Overseas Tobacco Sales 	Health studies primarily in the U.S. have caused reductions in tobacco sales here, but the economic impact has caused U.S. tobacco companies to look overseas for customers. What impact have the health and economic factors had overseas? To be relevant, an item will discuss either an increase or decrease in the sales of U.S. tobacco products overseas, and attribute this to health findings or more aggressive marketing by U.S. companies or the foreign companies they own or cooperate with. 	Relevant documents would discuss either an increase or decrease in the sales of U.S. tobacco products outside the U.S, and attribute these foreign sales to reduced sales inside the U.S. caused by health studies showing that smoking and tobacco are harmful, or attribute these foreign sales to more aggressive marketing by U.S. companies or the foreign companies they own or cooperate with.	T
347	Wildlife Extinction 	The spotted owl episode in America highlighted U.S. efforts to prevent the extinction of wildlife species. What is not well known is the effort of other countries to prevent the demise of species native to their countries. What other countries have begun efforts to prevent such declines? A relevant item will specify the country, the involved species, and steps taken to save the species. 	Many countries have taken efforts to prevent the extinction of wildlife species.  What countries, other than the United States, have begun efforts to save species from extinction?  A relevant document will specify the country, the involved species, and steps taken to save the species. 	T
350	Health and Computer Terminals 	Is it hazardous to the health of individuals to work with computer terminals on a daily basis? Relevant documents would contain any information that expands on any physical disorder/problems that may be associated with the daily working with computer terminals. Such things as carpal tunnel, cataracts, and fatigue have been said to be associated, but how widespread are these or other problems and what is being done to alleviate any health problems.	Relevant documents would provide information on any health issue that may be associated with working with computers and computer monitors (both cathode ray tubes and modern flat screens) on a daily basis.  For example, such things as carpal tunnel, cataracts, and fatigue have been said to be associated, but how widespread are these or other problems and what is being done to alleviate any health problems.	T
353	Antarctica exploration 	Identify systematic explorations and scientific investigations of Antarctica, current or planned. Documents discussing the following issues are relevant: - systematic explorations and scientific investigations of Antarctica (e.g., seismology, ionospheric physics, possible economic development) - other research currently conducted or planned for the future - banning of mineral mining. Documents discussing tourism are non-relevant. Documents discussing "disrupting scientific experiments" are non-relevant unless a specific experiment is identified. 	Documents discussing the following issues are relevant: systematic explorations and scientific investigations of Antarctica (e.g., seismology, ionospheric physics, possible economic development) - other research currently conducted or planned for the future - banning of mineral mining.	T
354	journalist risks 	Identify instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his work. Any document identifying an instance where a journalist or correspondent has been killed, arrested or taken hostage in the performance of his work is relevant. 	Relevant documents mention instances where a journalist has been put at risk (e.g., killed, arrested or taken hostage) in the performance of his or her work.	T
355	ocean remote sensing 	Documents discussing the development and application of space-borne ocean remote sensing in oceanography, seabed prospecting and mining, or any marine-science activity are relevant. Documents that discuss the application of satellite remote sensing in geography, agriculture, forestry, mining and mineral prospecting or any land-bound science are not relevant, nor are references to international marketing or promotional advertising of any remote-sensing technology. Synthetic aperture radar (SAR) employed in ocean remote sensing is relevant. 	Relevant documents should discuss the development and application of space-borne ocean remote sensing in oceanography, seabed prospecting and mining, or any marine-science activity are relevant.	T
356	postmenopausal estrogen Britain 	Identify documents discussing the use of estrogen by postmenopausal women in Britain. The use of hormone replacement therapy outside of the United Kingdom is not relevant. United Kingdom and British development and marketing of estrogen suppressing drugs are relevant. 	Relevant documents discuss the use of estrogen by postmenopausal women in Britain and the United Kingdom (UK). The use of hormone replacement therapy outside of the UK is not relevant. UK and British development and marketing of estrogen suppressing drugs are relevant. 	T
362	human smuggling 	Identify incidents of human smuggling. A relevant document shows an incident of humans (at least ten) being smuggled. The smugglers would have to realize a monetary gain for their actions, while the people being smuggled may or may not be willing participants. 	A relevant document shows an incident of humans being smuggled. Relevant incidents should involve 10 or more people.	T
363	What disasters have occurred in tunnels used for transportation?	What disasters have occurred in tunnels used for transportation? A relevant document identifies a disaster in a tunnel used for trains, motor vehicles, or people. Wind tunnels and tunnels used for wiring, sewage, water, oil, etc. are not relevant. The cause of the problem may be fire, earthquake, flood, or explosion and can be accidental or planned. Documents that discuss tunnel disasters occurring during construction of a tunnel are relevant if lives were threatened.	A relevant document identifies a transportation disaster in a tunnel used for trains, motor vehicles, or people.	T
